Time,Time Code,Country Name,Country Code,"Access to clean fuels and technologies for cooking, rural (% of rural population) [EG.CFT.ACCS.RU.ZS]","Access to clean fuels and technologies for cooking, urban (% of urban population) [EG.CFT.ACCS.UR.ZS]","Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]","People using safely managed drinking water services, rural (% of rural population) [SH.H2O.SMDW.RU.ZS]","People using safely managed sanitation services, rural (% of rural population) [SH.STA.SMSS.RU.ZS]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Rural population [SP.RUR.TOTL],Rural population growth (annual %) [SP.RUR.TOTL.ZG],"People using safely managed drinking water services, urban (% of urban population) [SH.H2O.SMDW.UR.ZS]","People using safely managed sanitation services, urban (% of urban population) [SH.STA.SMSS.UR.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Urban population growth (annual %) [SP.URB.GROW],Urban population [SP.URB.TOTL],"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]"
2018,YR2018,Afghanistan,AFG,14.3,82.7,91.6060600230095,98.7636108398438,22.85470987,..,74.505,27333488,2.5569087661644,34.95826596,..,25.495,3.85083283346822,9353296,..,..,3.19979000091553,11.6960601806641
2018,YR2018,Albania,ALB,63,92.5,100,100,..,52.7689721,39.681,1137407,-2.57812110197857,..,43.8578049,60.319,1.31716210445698,1728969,98.1411514282227,99.3300018310547,3.15490126609802,10.9706964492798
2018,YR2018,Algeria,DZA,98.8,100,98.9468531826338,99.8981094360352,68.21631413,22.77991009,27.371,11475841,-0.182834594028602,76.01418958,16.2900571,72.629,2.70094718319082,30451166,81.4078369140625,97.4265213012695,5.8663501739502,13.7749500274658
2018,YR2018,American Samoa,ASM,..,..,..,..,..,..,12.847,6221,-1.98940276281211,..,..,87.153,-2.14260423339677,42203,..,..,..,..
2018,YR2018,Andorra,AND,100,100,100,100,..,100,11.938,8955,2.3158335143152,..,100,88.062,1.48083075042889,66058,..,..,3.2467200756073,13.4619197845459
2018,YR2018,Angola,AGO,8,77,7.33344823653539,65.27,..,..,34.486,10784991,1.52605094874008,..,..,65.514,4.50011517052617,20488542,..,..,2.04469990730286,5.41023015975952
2018,YR2018,Antigua and Barbuda,ATG,100,100,100,100,..,..,75.401,69087,0.705946804892126,..,..,24.599,0.0932152674194362,22539,..,..,2.64407992362976,7.23061990737915
2018,YR2018,Argentina,ARG,97.1,99.9,99.9229553144899,100,..,..,8.13,3617403,-0.461530370218559,..,46.73458804,91.87,1.14760215897919,40877099,99.0038681030273,99.5055236816406,4.87773990631104,12.5233402252197
2018,YR2018,Armenia,ARM,95.6,99.6,99.9,99.9,..,..,36.851,1045300,-0.664961111991116,..,67.49269978,63.149,-0.467403784898344,1791257,..,..,2.25587010383606,8.98857975006104
2018,YR2018,Aruba,ABW,..,..,100,100,..,..,56.589,59963,0.287255738050861,..,..,43.411,0.765986265121772,45999,97.8074188232422,99.5,..,..
